Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime (in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Lenght, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent
29,58,40,411,3742,1765,1977,82,0,82,3732,36,18.366772,12.498506,8.865845,0.383927,3.395611,1.348320,0,0.000000,0,0.000000,6,0.150000,39,0.975000
30,28,46,411,3789,1765,2024,47,0,47,3785,53,13.820343,10.325697,8.824318,0.516226,4.387720,1.767188,0,0.000000,0,0.000000,19,0.413043,46,1.000000
30,58,96,411,3820,1765,2055,31,0,31,3866,81,19.811678,16.121637,8.771276,0.558561,4.025653,1.672205,0,0.000000,0,0.000000,39,0.406250,96,1.000000
31,28,118,411,3860,1765,2095,40,0,40,3928,62,30.478594,19.333210,8.753576,0.545289,4.048188,1.625946,0,0.000000,0,0.000000,50,0.423729,118,1.000000
31,58,133,411,3904,1765,2139,44,0,44,3987,59,38.224960,26.225809,8.794770,0.483492,4.159534,1.557427,1,0.007519,0,0.000000,70,0.526316,133,1.000000
32,28,165,411,3939,1765,2174,35,0,35,4054,67,44.382107,30.988571,8.850907,0.353750,4.122987,1.489186,4,0.024242,0,0.000000,93,0.563636,165,1.000000
32,58,209,411,3965,1765,2200,26,0,26,4124,70,53.776184,38.067261,8.796901,0.451530,4.258250,1.577379,4,0.019139,0,0.000000,125,0.598086,209,1.000000
33,28,239,411,3998,1766,2232,33,1,32,4187,63,63.304790,43.464302,8.783659,0.433305,4.320645,1.483228,6,0.025105,0,0.000000,152,0.635983,239,1.000000
33,58,272,411,4036,1775,2261,38,9,29,4258,71,69.452950,48.758522,8.800739,0.392777,4.432109,1.460280,7,0.025735,0,0.000000,181,0.665441,272,1.000000
34,28,287,411,4085,1800,2285,49,25,24,4322,64,73.877731,52.088539,8.797087,0.393786,4.423425,1.488648,7,0.024390,0,0.000000,186,0.648084,286,0.996516
34,58,272,411,4154,1838,2316,69,38,31,4376,54,73.965462,52.542114,8.807611,0.363491,4.454204,1.519703,8,0.029412,0,0.000000,177,0.650735,271,0.996324
35,28,260,411,4233,1880,2353,79,42,37,4443,67,65.954773,45.544167,8.814253,0.405620,4.345442,1.608091,10,0.038462,0,0.000000,152,0.584615,258,0.992308
35,58,266,411,4292,1909,2383,59,29,30,4508,65,66.874657,45.261692,8.767949,0.460842,4.486484,1.736486,14,0.052632,0,0.000000,155,0.582707,265,0.996241
36,28,261,411,4362,1933,2429,70,24,46,4573,65,63.350239,39.622135,8.744751,0.537779,4.418769,1.742462,13,0.049808,0,0.000000,141,0.540230,258,0.988506
36,58,271,411,4423,1953,2470,61,20,41,4644,71,63.342800,40.101456,8.737824,0.566606,4.334620,1.721529,15,0.055351,0,0.000000,143,0.527675,266,0.981550
37,28,275,411,4488,1978,2510,65,25,40,4713,69,63.689396,39.776302,8.747474,0.601254,4.125341,1.702724,16,0.058182,0,0.000000,131,0.476364,271,0.985455
37,58,272,411,4549,1997,2552,61,19,42,4771,58,66.824440,40.032127,8.718845,0.627327,4.188443,1.714530,15,0.055147,0,0.000000,135,0.496324,270,0.992647
38,28,270,411,4613,2014,2599,64,17,47,4833,62,67.517059,40.552742,8.781720,0.538174,4.082548,1.764618,15,0.055556,0,0.000000,129,0.477778,268,0.992593
38,58,268,411,4676,2034,2642,63,20,43,4894,61,69.799866,44.337368,8.756709,0.574097,4.137327,1.839756,25,0.093284,0,0.000000,129,0.481343,266,0.992537
39,28,254,411,4747,2054,2693,71,20,51,4951,57,68.398445,43.588917,8.725394,0.607316,4.260873,1.910629,28,0.110236,0,0.000000,128,0.503937,252,0.992126
39,58,258,411,4812,2072,2740,65,18,47,5020,69,66.018463,41.637608,8.681678,0.666526,4.366138,1.981068,27,0.104651,0,0.000000,129,0.500000,257,0.996124
40,28,251,411,4885,2093,2792,73,21,52,5086,66,62.269863,39.457394,8.692852,0.687235,4.234236,1.898943,26,0.103586,0,0.000000,116,0.462151,251,1.000000
40,58,243,411,4953,2105,2848,68,12,56,5146,60,63.330925,40.455494,8.714828,0.675119,4.122234,1.822215,20,0.082305,0,0.000000,109,0.448560,243,1.000000
41,28,239,411,5011,2115,2896,58,10,48,5200,54,66.313400,40.500999,8.761514,0.596073,4.087292,1.744142,17,0.071130,0,0.000000,109,0.456067,239,1.000000
41,58,246,411,5077,2129,2948,66,14,52,5273,73,62.425865,41.958515,8.766246,0.571068,4.132290,1.680083,15,0.060976,0,0.000000,121,0.491870,245,0.995935
42,28,241,411,5148,2145,3003,71,16,55,5339,66,59.114861,37.742996,8.749936,0.586594,4.301891,1.769969,11,0.045643,0,0.000000,124,0.514523,239,0.991701
42,58,255,411,5205,2151,3054,57,6,51,5410,71,60.360817,38.623177,8.733696,0.587670,4.445561,1.682769,12,0.047059,0,0.000000,140,0.549020,255,1.000000
43,28,272,411,5261,2160,3101,56,9,47,5483,73,62.333546,40.798363,8.745365,0.560129,4.412843,1.690468,12,0.044118,0,0.000000,160,0.588235,272,1.000000
43,58,296,411,5308,2172,3136,47,12,35,5554,71,67.172829,43.291142,8.730833,0.571915,4.398004,1.686612,14,0.047297,0,0.000000,179,0.604730,296,1.000000
44,28,286,411,5381,2188,3193,73,16,57,5617,63,68.758492,42.914970,8.763052,0.493485,4.496637,1.633483,14,0.048951,0,0.000000,180,0.629371,286,1.000000
44,58,272,411,5453,2215,3238,72,27,45,5675,58,68.864777,41.248978,8.794543,0.467951,4.393579,1.662092,12,0.044118,0,0.000000,164,0.602941,272,1.000000
45,28,278,411,5514,2233,3281,61,18,43,5742,67,68.978279,42.939751,8.829934,0.429950,4.340753,1.772354,9,0.032374,0,0.000000,167,0.600719,278,1.000000
45,58,284,411,5577,2252,3325,63,19,44,5811,69,68.815018,44.699623,8.831851,0.443915,4.217207,1.799289,10,0.035211,0,0.000000,165,0.580986,284,1.000000
46,28,282,411,5641,2273,3368,64,21,43,5873,62,68.408463,41.733784,8.815158,0.516166,4.239100,1.900094,10,0.035461,0,0.000000,161,0.570922,282,1.000000
46,58,309,411,5690,2284,3406,49,11,38,5949,76,70.094955,43.522266,8.823937,0.463392,4.168389,1.865257,10,0.032362,0,0.000000,175,0.566343,309,1.000000
47,28,322,411,5748,2298,3450,58,14,44,6020,71,72.466660,45.592911,8.806576,0.481384,4.224512,1.888660,12,0.037267,0,0.000000,180,0.559006,321,0.996894
47,58,322,411,5805,2316,3489,57,18,39,6077,57,77.431534,46.524414,8.779508,0.563237,4.208241,1.932181,11,0.034161,0,0.000000,172,0.534162,319,0.990683
48,28,332,411,5859,2336,3523,54,20,34,6141,64,80.645935,49.076488,8.771145,0.587348,4.239699,1.945933,13,0.039157,0,0.000000,170,0.512048,328,0.987952
48,58,343,411,5920,2362,3558,61,26,35,6213,72,81.234993,50.836132,8.761422,0.597465,4.257567,1.980501,10,0.029155,0,0.000000,166,0.483965,340,0.991254
49,28,350,411,5979,2386,3593,59,24,35,6279,66,84.635361,53.841599,8.762197,0.601759,4.192554,1.966059,8,0.022857,0,0.000000,160,0.457143,347,0.991429
49,58,308,411,6072,2426,3646,93,40,53,6330,51,81.942657,49.879211,8.732582,0.626323,4.087196,1.899186,9,0.029221,0,0.000000,137,0.444805,305,0.990260
50,28,298,411,6154,2462,3692,82,36,46,6402,72,73.423752,46.462715,8.710377,0.633815,4.084502,1.929572,5,0.016779,0,0.000000,125,0.419463,297,0.996644
50,58,304,411,6219,2488,3731,65,26,39,6473,71,71.808411,46.834408,8.741284,0.629046,3.961631,1.885391,3,0.009868,0,0.000000,118,0.388158,304,1.000000
51,28,301,411,6285,2507,3778,66,19,47,6536,63,72.040878,46.128712,8.765476,0.610938,3.957468,1.870938,3,0.009967,0,0.000000,113,0.375415,301,1.000000
51,58,300,411,6349,2516,3833,64,9,55,6599,63,72.702232,44.998325,8.792691,0.559361,3.882272,1.865786,2,0.006667,0,0.000000,107,0.356667,297,0.990000
52,28,273,411,6417,2522,3895,68,6,62,6640,41,77.701080,41.608715,8.772340,0.570838,3.998131,1.914168,1,0.003663,0,0.000000,92,0.336996,273,1.000000
52,58,7,411,6742,2812,3930,325,290,35,6699,59,7.037571,6.426566,8.612043,0.567809,4.342705,1.494557,0,0.000000,0,0.000000,4,0.571429,7,1.000000
53,28,1,411,6766,2834,3932,24,22,2,6717,18,5.402000,0.000000,9.131117,0.000000,2.739362,0.000000,0,0.000000,0,0.000000,1,1.000000,1,1.000000
